qaid	message
spam.csv_1442	Its ok., i just askd did u knw tht no?
spam.csv_1443	Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or ï¿½250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
spam.csv_1444	Those ducking chinchillas
spam.csv_1445	I am in a marriage function
spam.csv_1446	Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
spam.csv_1447	Donï¿½ï¿½ï¿½t give a flying monkeys wot they think and I certainly donï¿½ï¿½ï¿½t mind. Any friend of mine and all that!
spam.csv_1448	As a registered optin subscriber ur draw 4 ï¿½100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
spam.csv_1449	say thanks2. 
spam.csv_1450	Msg me when rajini comes.
spam.csv_1451	Ya! when are ï¿½_ taking ure practical lessons? I start in june..  
spam.csv_1452	That's good, because I need drugs
spam.csv_1453	Stupid.its not possible
spam.csv_1454	Can ï¿½_ all decide faster cos my sis going home liao..
spam.csv_1455	Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
spam.csv_1456	U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
spam.csv_1457	CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callsï¿½1/minmoremobsEMSPOBox45PO139WA
spam.csv_1458	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
spam.csv_1459	Bought one ringtone and now getting texts costing 3 pound offering more tones etc
spam.csv_1460	Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D
spam.csv_1461	Kinda. First one gets in at twelve! Aah. Speak tomo
spam.csv_1462	09066362231 URGENT! Your mobile No 07xxxxxxxxx won a ï¿½2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!
spam.csv_1463	Ok good then i later come find ï¿½_... C lucky i told ï¿½_ to go earlier... Later pple take finish ï¿½_ no more again...
spam.csv_1464	Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
spam.csv_1465	YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a ï¿½500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+
spam.csv_1466	Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
spam.csv_1467	I wont touch you with out your permission.
spam.csv_1468	Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callsï¿½1/minMobsmoreLKPOBOX177HP51FL
spam.csv_1469	"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
spam.csv_1470	Take some small dose tablet for fever
spam.csv_1471	Oh. U must have taken your REAL Valentine out shopping first.
spam.csv_1472	Just sent you an email ï¿½ï¿½ï¿½ to an address with incomm in it, is that right?
spam.csv_1473	Will do, you gonna be at blake's all night? I might be able to get out of here a little early
spam.csv_1474	Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e
spam.csv_1475	Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!
spam.csv_1476	I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
spam.csv_1477	Why you keeping me away like this
spam.csv_1478	I think its far more than that but find out. Check google maps for a place from your dorm.
spam.csv_1479	My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
spam.csv_1480	Have you always been saying welp?
spam.csv_1481	I'm a guy, browsin is compulsory
spam.csv_1482	Ok...
spam.csv_1483	Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
spam.csv_1484	Sorry, I'll call later
spam.csv_1485	(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)
spam.csv_1486	Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea
spam.csv_1487	I told your number to gautham..
spam.csv_1488	Tell them no need to investigate about me anywhere.
spam.csv_1489	Ok i juz receive..
spam.csv_1490	Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.
spam.csv_1491	Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz
spam.csv_1492	In the end she might still vomit but its okay. Not everything will come out.
spam.csv_1493	How are you with moneY...as in to you...money aint a thing....how are you sha!
spam.csv_1494	It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
spam.csv_1495	Hey gals.. Anyone of u going down to e driving centre tmr?
spam.csv_1496	I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
spam.csv_1497	I'm putting it on now. It should be ready for  &lt;TIME&gt; 
spam.csv_1498	Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon
spam.csv_1499	SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO
spam.csv_1500	Host-based IDPS for linux systems.
spam.csv_1501	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call
spam.csv_1502	Don no da:)whats you plan?
spam.csv_1503	Ill be there on  &lt;#&gt;  ok.
spam.csv_1504	Oh my God. I'm almost home
spam.csv_1505	Total video converter free download type this in google search:)
spam.csv_1506	Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
spam.csv_1507	Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
spam.csv_1508	Sounds like something that someone testing me would sayy
spam.csv_1509	When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
spam.csv_1510	Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)
spam.csv_1511	Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
spam.csv_1512	Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*
spam.csv_1513	Hows the champ just leaving glasgow!
spam.csv_1514	K:)all the best:)congrats...
spam.csv_1515	I wonder if you'll get this text?
spam.csv_1516	I need to come home and give you some good lovin...
spam.csv_1517	Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
spam.csv_1518	Shall i ask one thing if you dont mistake me.
spam.csv_1519	Check wid corect speling i.e. Sarcasm
spam.csv_1520	URGENT! Your Mobile No was awarded a ï¿½2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate
spam.csv_1521	Are you angry with me. What happen dear
spam.csv_1522	I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
spam.csv_1523	Yup ok thanx...
spam.csv_1524	Hi:)cts employee how are you?
spam.csv_1525	Pls pls find out from aunt nike.
spam.csv_1526	Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you
spam.csv_1527	No screaming means shouting..
spam.csv_1528	Hey what happen de. Are you alright.
spam.csv_1529	Should I have picked up a receipt or something earlier
spam.csv_1530	I think chennai well settled?
spam.csv_1531	Oh dang! I didn't mean o send that to you! Lol!
spam.csv_1532	Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
spam.csv_1533	Horrible bf... I now v hungry...
spam.csv_1534	Remember on that day..
spam.csv_1535	You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
spam.csv_1536	How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
spam.csv_1537	All sounds good. Fingers . Makes it difficult to type
spam.csv_1538	Midnight at the earliest
spam.csv_1539	You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
spam.csv_1540	K come to nordstrom when you're done
spam.csv_1541	Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
spam.csv_1542	Now press conference da:)
spam.csv_1543	Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow
spam.csv_1544	After completed degree. There is no use in joining finance.
spam.csv_1545	Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?
spam.csv_1546	Shant disturb u anymore... Jia you...
spam.csv_1547	Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
spam.csv_1548	Me, i dont know again oh
spam.csv_1549	Dude sux for snake. He got old and raiden got buff
spam.csv_1550	He says hi and to get your ass back to south tampa (preferably at a kegger)
spam.csv_1551	In e msg jus now. U said thanks for gift.
spam.csv_1552	U too...
spam.csv_1553	Ok how you dear. Did you call chechi
spam.csv_1554	Yeah we do totes. When u wanna?
spam.csv_1555	Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
spam.csv_1556	Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
spam.csv_1557	Wat r u doing?
spam.csv_1558	Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
spam.csv_1559	"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
spam.csv_1560	Just got some gas money, any chance you and the gang want to go on a grand nature adventure?
spam.csv_1561	Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
spam.csv_1562	Dude just saw a parked car with its sunroof popped up. Sux
spam.csv_1563	Get ready to put on your excellent sub face :)
spam.csv_1564	Tmrw. Im finishing 9 doors
spam.csv_1565	The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.
spam.csv_1566	I am late. I will be there at
spam.csv_1567	whatever, im pretty pissed off.
spam.csv_1568	Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam.csv_1569	I dont have that much image in class.
spam.csv_1570	No:-)i got rumour that you going to buy apartment in chennai:-)
spam.csv_1571	Near kalainar tv office.thenampet
spam.csv_1572	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam.csv_1573	SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
spam.csv_1574	My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
spam.csv_1575	Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...
spam.csv_1576	No. To be nosy I guess. Idk am I over reacting if I'm freaked?
spam.csv_1577	Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.
spam.csv_1578	How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
spam.csv_1579	Why is that, princess? I bet the brothas are all chasing you!
spam.csv_1580	I shall book chez jules for half eight, if that's ok with you?
spam.csv_1581	Hhahhaahahah rofl wtf nig was leonardo in your room or something
spam.csv_1582	Yep, at derek's house now, see you Sunday &lt;3
spam.csv_1583	It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day
spam.csv_1584	Sorry, I'll call later
spam.csv_1585	I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
spam.csv_1586	There are no other charges after transfer charges and you can withdraw anyhow you like
spam.csv_1587	Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL
spam.csv_1588	At 4. Let's go to bill millers
spam.csv_1589	I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
spam.csv_1590	Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)
spam.csv_1591	That's my honeymoon outfit. :)
spam.csv_1592	Will it help if we propose going back again tomorrow
spam.csv_1593	PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
spam.csv_1594	Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
spam.csv_1595	Pls confirm the time to collect the cheque.
spam.csv_1596	As a Registered Subscriber yr draw 4 a ï¿½100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
spam.csv_1597	URGENT! Your Mobile number has been awarded with a ï¿½2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
spam.csv_1598	Daddy will take good care of you :)
spam.csv_1599	Yeah probably, I still gotta check out with leo
spam.csv_1600	K.then any other special?
spam.csv_1601	Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
spam.csv_1602	Ok pa. Nothing problem:-)
spam.csv_1603	Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
spam.csv_1604	God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U
spam.csv_1605	When you came to hostel.
spam.csv_1606	Ok no prob... I'll come after lunch then...
spam.csv_1607	Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
spam.csv_1608	Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
spam.csv_1609	You all ready for * big day tomorrow?
spam.csv_1610	I'll probably be around mu a lot
spam.csv_1611	645
spam.csv_1612	RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
spam.csv_1613	Thnx dude. u guys out 2nite?
spam.csv_1614	Me sef dey laugh you. Meanwhile how's my darling anjie!
spam.csv_1615	Mm i had my food da from out
spam.csv_1616	K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
spam.csv_1617	Did u download the fring app?
spam.csv_1618	The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
spam.csv_1619	Friends that u can stay on fb chat with
spam.csv_1620	Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...
spam.csv_1621	Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
spam.csv_1622	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
spam.csv_1623	Ah, well that confuses things, doesnï¿½ï¿½ï¿½t it?
spam.csv_1624	500 free text msgs. Just text ok to 80488 and we'll credit your account
spam.csv_1625	Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
spam.csv_1626	Dear how you. Are you ok?
spam.csv_1627	You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth ï¿½350! To Claim, Call London 02072069400. Bx 526, SW73SS
spam.csv_1628	Yes princess! I want to make you happy...
spam.csv_1629	Sounds like you have many talents! would you like to go on a dinner date next week?
spam.csv_1630	I am going to film 2day da. At 6pm. Sorry da.
spam.csv_1631	We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
spam.csv_1632	Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
spam.csv_1633	Yesterday its with me only . Now am going home.
spam.csv_1634	Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p
spam.csv_1635	You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for
spam.csv_1636	No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me
spam.csv_1637	"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""
spam.csv_1638	Great comedy..cant stop laughing da:)
spam.csv_1639	FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
spam.csv_1640	Alright, we're all set here, text the man
spam.csv_1641	Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?
spam.csv_1642	Sleeping nt feeling well
spam.csv_1643	U WILL SWITCH YOUR FONE ON DAMMIT!!
spam.csv_1644	India have to take lead:)
spam.csv_1645	I.ll post her out l8r. In class
spam.csv_1646	Thts wat Wright Brother did to fly..
spam.csv_1647	Evening * v good if somewhat event laden. Will fill you in, don't you worry ï¿½ï¿½_ Head * ok but throat * wrecked. See you at six then!
spam.csv_1648	If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
spam.csv_1649	ITS A LAPTOP TAKE IT WITH YOU.
spam.csv_1650	I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
spam.csv_1651	I wan but too early lei... Me outside now wun b home so early... Neva mind then...
spam.csv_1652	For ur chance to win a ï¿½250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk
spam.csv_1653	I was at bugis juz now wat... But now i'm walking home oredi... ï¿½ï¿½ so late then reply... I oso saw a top dat i like but din buy... Where r ï¿½_ now? 
spam.csv_1654	"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
spam.csv_1655	At 7 we will go ok na.
spam.csv_1656	Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
spam.csv_1657	S:-)if we have one good partnership going we will take lead:)
spam.csv_1658	RGENT! This is the 2nd attempt to contact U!U have WON ï¿½1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxï¿½7. 50
spam.csv_1659	Yeah, where's your class at?
spam.csv_1660	No just send to you. Bec you in temple na.
spam.csv_1661	You aren't coming home between class, right? I need to work out and shower!
spam.csv_1662	Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callsï¿½1/minMobsmoreLKPOBOX177HP51FL
spam.csv_1663	S but mostly not like that.
spam.csv_1664	ï¿½ï¿½ v ma fan...
spam.csv_1665	Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
spam.csv_1666	Guess who spent all last night phasing in and out of the fourth dimension
spam.csv_1667	So now my dad is gonna call after he gets out of work and ask all these crazy questions.
spam.csv_1668	Yes..but they said its IT.,
spam.csv_1669	Very hurting n meaningful lines ever: \I compromised everything for my love
spam.csv_1670	Lmao!nice 1
spam.csv_1671	Glad to see your reply.
spam.csv_1672	URGENT! We are trying to contact U. Todays draw shows that you have won a ï¿½800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
spam.csv_1673	Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
spam.csv_1674	Nah dub but je still buff
spam.csv_1675	Painful words- \I thought being Happy was the most toughest thing on Earth... But
spam.csv_1676	Yeah, that's fine! It's ï¿½6 to get in, is that ok? 
spam.csv_1677	Lol where do u come up with these ideas?
spam.csv_1678	So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
spam.csv_1679	"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
spam.csv_1680	Okay... We wait ah
spam.csv_1681	Y lei?
spam.csv_1682	HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
spam.csv_1683	Already am squatting is the new way of walking
spam.csv_1684	Do you want bold 2 or bb torch
spam.csv_1685	Cramps stopped. Going back to sleep
spam.csv_1686	todays vodafone numbers ending with 0089(my last four digits) are selected to received a ï¿½350 award. If your number matches please call 09063442151 to claim your ï¿½350 award
spam.csv_1687	Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
spam.csv_1688	Nan sonathaya soladha. Why boss?
spam.csv_1689	Bring tat cd don forget
spam.csv_1690	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ï¿½1.50 SP:Tyrone
spam.csv_1691	I don't know but I'm raping dudes at poker
spam.csv_1692	Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
spam.csv_1693	Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
spam.csv_1694	ï¿½ï¿½ eatin later but i'm eatin wif my frens now lei... ï¿½ï¿½ going home first? 
spam.csv_1695	Finish already... Yar they keep saying i mushy... I so embarrassed ok...
spam.csv_1696	Sorry man, my stash ran dry last night and I can't pick up more until sunday
spam.csv_1697	Hai priya are you right. What doctor said pa. Where are you.
spam.csv_1698	Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
spam.csv_1699	Ok...
spam.csv_1700	Please ask mummy to call father
spam.csv_1701	Can come my room but cannot come my house cos my house still messy... Haha...
spam.csv_1702	I have lost 10 kilos as of today!
spam.csv_1703	Just taste fish curry :-P
spam.csv_1704	What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
spam.csv_1705	Yun ah.now ï¿½_ wkg where?btw if ï¿½_ go nus sc. ï¿½ï¿½ wana specialise in wad?
spam.csv_1706	Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
spam.csv_1707	Was doing my test earlier. I appreciate you. Will call you tomorrow.
spam.csv_1708	How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?
spam.csv_1709	U meet other fren dun wan meet me ah... Muz b a guy rite...
spam.csv_1710	(No promises on when though, haven't even gotten dinner yet)
spam.csv_1711	I got your back! Do you have any dislikes in bed?
spam.csv_1712	o turns out i had stereo love on mi phone under the unknown album.
spam.csv_1713	Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
spam.csv_1714	Yeah I don't see why not
spam.csv_1715	Asking do u knw them or nt? May be ur frnds or classmates?
spam.csv_1716	Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!
spam.csv_1717	WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
spam.csv_1718	As in missionary hook up, doggy hook up, standing...|
spam.csv_1719	Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
spam.csv_1720	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
spam.csv_1721	Am watching house ï¿½ï¿½ï¿½ very entertaining ï¿½ï¿½ï¿½ am getting the whole hugh laurie thing ï¿½ï¿½ï¿½ even with the stick ï¿½ï¿½ï¿½ indeed especially with the stick.
spam.csv_1722	Thought praps you meant another one. Goodo! I'll look tomorrow 
spam.csv_1723	Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ï¿½ï¿½rents mayb interested in it, I hav 12,000pes, so around ï¿½48, tb, James.
spam.csv_1724	There bold 2  &lt;#&gt; . Is that yours
spam.csv_1725	You know there is. I shall speak to you in  &lt;#&gt;  minutes then
spam.csv_1726	"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
spam.csv_1727	I went to project centre
spam.csv_1728	As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam.csv_1729	Lol yeah at this point I guess not
spam.csv_1730	Doing project w frens lor. 
spam.csv_1731	Lol. Well quality aint bad at all so i aint complaining
spam.csv_1732	K, can that happen tonight?
spam.csv_1733	Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive ï¿½5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....
spam.csv_1734	I think we're going to finn's now, come
spam.csv_1735	Why tired what special there you had
spam.csv_1736	I will come tomorrow di
spam.csv_1737	I cant pick the phone right now. Pls send a message
spam.csv_1738	K go and sleep well. Take rest:-).
spam.csv_1739	U guys never invite me anywhere :(
spam.csv_1740	UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofï¿½2000 CASH 18+only. To opt out txt X to 07786200117
spam.csv_1741	I can do that! I want to please you both inside and outside the bedroom...
spam.csv_1742	"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
spam.csv_1743	I love to wine and dine my lady!
spam.csv_1744	Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
spam.csv_1745	Iï¿½ï¿½m cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.
spam.csv_1746	I don know account details..i will ask my mom and send you.my mom is out of reach now.
spam.csv_1747	I think u have the wrong number.
